target,samples,accuracy,f1_against,f1_none,f1_favor,favg2,favg3
Women empowerment,1323,0.8495842781557067,0.8588709677419355,0.3918918918918919,0.8884462151394422,0.8736585914406889,0.7130696915910898
OVERALL,3894,0.8343605546995377,0.8445099484156227,0.5420326223337516,0.8823942015431377,0.8634520749793801,0.7563122574308374
Covid Vaccine,1351,0.8260547742413027,0.8738007380073801,0.5942857142857143,0.8425275827482447,0.8581641603778124,0.7702046783471131
Digital Transformation,1220,0.8270491803278689,0.6975476839237057,0.5551839464882943,0.8996617812852311,0.7986047326044684,0.7174644705657437
